datasetName	habitat	stationCode	samplingLevel	sampleTrackCode	sampleAreaOrVolume	samples.unit	samplingMinDepth	samplingMaxDepth	samplingMaxElevation	samplingMinElevation	sampledSedimentDepth	replicateOrQuadrant	samplingTool	taxonNameAsInFile	EMBOS_name	WoRMS_scientificName	lifeStage	sex	parameter	parameters.unit	value
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P3-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		15
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		14
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		11
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Hydrobia	Hydrobia	Hydrobia	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Macoma balthica	Macoma balthica	Macoma balthica	Adult		Individual Count		2
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Mytilus	Mytilus	Mytilus	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		9
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		34
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P3-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Mytilus	Mytilus	Mytilus	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P3-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		10
