"datasetName"	"habitat"	"stationCode"	"samplingLevel"	"sampleTrackCode"	"sampleAreaOrVolume"	"samples.unit"	"samplingMinDepth"	"samplingMaxDepth"	"samplingMaxElevation"	"samplingMinElevation"	"sampledSedimentDepth"	"replicateOrQuadrant"	"samplingTool"	"taxonNameAsInFile"	"EMBOS_name"	"WoRMS_scientificName"	"lifeStage"	"sex"	"parameter"	"parameters.unit"	"value"	"lat"	"lon"
"1"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P3-R3"	133	"cm2"	0.5	0.5	NA	NA	30	3	"EMBOS corer"	"Polychaeta "	"Polychaeta"	"Polychaeta"	"Juvenile"	NA	"Individual Count"	""	15	54.4534129667	18.5666074
"2"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P1-R3"	133	"cm2"	0.5	0.5	NA	NA	30	3	"EMBOS corer"	"Bathyporeia pilosa"	"Bathyporeia pilosa"	"Bathyporeia pilosa"	"Adult"	NA	"Individual Count"	""	14	54.4534129667	18.5666074
"3"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P1-R3"	133	"cm2"	0.5	0.5	NA	NA	30	3	"EMBOS corer"	"Polychaeta "	"Polychaeta"	"Polychaeta"	"Juvenile"	NA	"Individual Count"	""	11	54.4534129667	18.5666074
"4"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P2-R1"	133	"cm2"	0.5	0.5	NA	NA	30	1	"EMBOS corer"	"Hydrobia"	"Hydrobia"	"Hydrobia"	"Adult"	NA	"Individual Count"	""	1	54.4534129667	18.5666074
"5"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P2-R1"	133	"cm2"	0.5	0.5	NA	NA	30	1	"EMBOS corer"	"Macoma balthica"	"Macoma balthica"	"Macoma balthica"	"Adult"	NA	"Individual Count"	""	2	54.4534129667	18.5666074
"6"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P2-R1"	133	"cm2"	0.5	0.5	NA	NA	30	1	"EMBOS corer"	"Mytilus"	"Mytilus"	"Mytilus"	"Adult"	NA	"Individual Count"	""	1	54.4534129667	18.5666074
"7"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P2-R1"	133	"cm2"	0.5	0.5	NA	NA	30	1	"EMBOS corer"	"Bathyporeia pilosa"	"Bathyporeia pilosa"	"Bathyporeia pilosa"	"Adult"	NA	"Individual Count"	""	9	54.4534129667	18.5666074
"8"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P2-R1"	133	"cm2"	0.5	0.5	NA	NA	30	1	"EMBOS corer"	"Polychaeta "	"Polychaeta"	"Polychaeta"	"Juvenile"	NA	"Individual Count"	""	34	54.4534129667	18.5666074
"9"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P3-R2"	133	"cm2"	0.5	0.5	NA	NA	30	2	"EMBOS corer"	"Mytilus"	"Mytilus"	"Mytilus"	"Adult"	NA	"Individual Count"	""	1	54.4534129667	18.5666074
"10"	"EMBOS_pilot_2014_Poland_Puck_Bay_softsub"	"soft substrate (beach)"	"PL-PB-SUB"	"subtidal"	"PL-2014-PB-SUB-P3-R2"	133	"cm2"	0.5	0.5	NA	NA	30	2	"EMBOS corer"	"Polychaeta "	"Polychaeta"	"Polychaeta"	"Juvenile"	NA	"Individual Count"	""	10	54.4534129667	18.5666074
