stationCode	parameter	value	unit	description
CY-SFDA-SUB	Conductivity	51.1	mS/cm	Seawater conductivity
CY-SFDA-SUB	pH (sediment)	7.585		
CY-SFDA-SUB	pH (water)	8.36		pH value of the water
CY-SFDA-SUB	Redox	-35.6	mV	Redox potential in the sediment
CY-SFDA-SUB	Salinity	39.26	psu	water salinity
CY-SFDA-SUB	Water temperature	18.24	°C	water temperature
CY-SFDB-SUB	Conductivity	51.1	mS/cm	Seawater conductivity
CY-SFDB-SUB	pH (sediment)	7.64		
CY-SFDB-SUB	pH (water)	8.36		pH value of the water
CY-SFDB-SUB	Redox	-25	mV	Redox potential in the sediment
CY-SFDB-SUB	Salinity	39.26	psu	water salinity
CY-SFDB-SUB	Water temperature	18.24	°C	water temperature
EE-Kanissaare-SUB	Chlorophyll a	9.2	mg/L	Chlorophyll a concentration
EE-Kanissaare-SUB	Dissolved Oxygen (water)	12.13	mg/l	Dissolved oxygen in the water column.
EE-Kanissaare-SUB	Oxygen saturation	100.9	%	Oxygen saturation of the water
EE-Kanissaare-SUB	pH (water)	8.54		pH value of the water
EE-Kanissaare-SUB	Salinity	4.47	psu	water salinity
EE-Kanissaare-SUB	Sediment temperature	6.25	°C	sediment temperature
EE-Kõiguste-SUB	Chlorophyll a	3.2	mg/L	Chlorophyll a concentration
EE-Kõiguste-SUB	Dissolved Oxygen (water)	12.41	mg/l	Dissolved oxygen in the water column.
EE-Kõiguste-SUB	Oxygen saturation	101.6	%	Oxygen saturation of the water
EE-Kõiguste-SUB	pH (water)	9.01		pH value of the water
EE-Kõiguste-SUB	Salinity	5.04	psu	water salinity
EE-Kõiguste-SUB	Sediment temperature	5.41	°C	sediment temperature
ES-ES1-LWL	Dissolved Oxygen (water)	9.7	mg/l	Dissolved oxygen in the water column.
ES-ES1-LWL	Salinity	34	psu	water salinity
ES-ES1-LWL	Sediment temperature	17	°C	sediment temperature
ES-ES1-LWL	Turbidity	2	NTU	Water turbidity
ES-ES2-LWL	Dissolved Oxygen (water)	9.7	mg/l	Dissolved oxygen in the water column.
ES-ES2-LWL	Dissolved Oxygen (water)	9.6	mg/l	Dissolved oxygen in the water column.
ES-ES2-LWL	Salinity	34	psu	water salinity
ES-ES2-LWL	Sediment temperature	15	°C	sediment temperature
ES-ES2-LWL	Sediment temperature	17	°C	sediment temperature
ES-ES2-LWL	Turbidity	2	NTU	Water turbidity
ES-ES2-LWL	Turbidity	21	NTU	Water turbidity
ES-SS01-LWL	Dissolved Oxygen (water)	8.6	mg/l	Dissolved oxygen in the water column.
ES-SS01-LWL	Dissolved Oxygen (water)	9.6	mg/l	Dissolved oxygen in the water column.
ES-SS01-LWL	Dissolved Oxygen (water)	10.1666666667	mg/l	Dissolved oxygen in the water column.
ES-SS01-LWL	Salinity	21	psu	water salinity
ES-SS01-LWL	Salinity	27.5666666667	psu	water salinity
ES-SS01-LWL	Salinity	14.9	psu	water salinity
ES-SS01-LWL	Sediment temperature	13.8333333333	°C	sediment temperature
ES-SS01-LWL	Sediment temperature	13.8666666667	°C	sediment temperature
ES-SS01-LWL	Sediment temperature	12.8666666667	°C	sediment temperature
ES-SS01-LWL	Water temperature	12.9	°C	water temperature
